Model,Accuracy,Precision,Recall,F1,ROC_AUC
LogisticRegression,0.984,0.9859649122807017,0.9656357388316151,0.9756944444444444,0.9982994398154686
DecisionTree,0.9725714285714285,0.9494949494949495,0.9690721649484536,0.9591836734693877,0.9716936167208021
RandomForest,0.9485714285714286,0.9659090909090909,0.8762886597938144,0.918918918918919,0.9870957491879678
GradientBoosting,0.9828571428571429,0.9693877551020408,0.979381443298969,0.9743589743589743,0.9992173892576378
XGBoost,0.9908571428571429,0.9896193771626297,0.9828178694158075,0.9862068965517241,0.9996587111048345
KNN,0.8411428571428572,0.7087912087912088,0.8865979381443299,0.7877862595419848,0.9250253024525726
SVM,0.9714285714285714,0.9889705882352942,0.9243986254295533,0.955595026642984,0.9970931600997975
XGBoost_Tuned,0.9908571428571429,0.9896193771626297,0.9828178694158075,0.9862068965517241,0.9996999011439063
